VGNKennung;VAGKennung;Haltestellenname;Ort;longitude;latitude;GlobalID;Betriebszweig;Dataprovider
1283;AWEG-B;Am Wegfeld;Nürnberg;110309378;492932841;de:9564:1283:13:9;B;VAG
1283;AWEG-T;Am Wegfeld;Nürnberg;110312384;492932496;de:9564:1283:12:11;T;VAG
1283;AWEG-T;Am Wegfeld;Nürnberg;110314472;492933072;de:9564:1283:12:12;T;VAG
1283;AWEG-T;Am Wegfeld;Nürnberg;110314832;492933108;de:9564:1283:12:13;T;VAG
1284;ALMOSH;Almoshof;Nürnberg;110344296;492924212;de:9564:1284:0:1;B;VAG
1284;ALMOSH;Almoshof;Nürnberg;110343121;492924788;de:9564:1284:0:2;B;VAG
1285;ALM-SC;Almoshof Schule;Nürnberg;110358860;492919144;de:9564:1285:0:1;B;VAG
1285;ALM-SC;Almoshof Schule;Nürnberg;110358818;492918856;de:9564:1285:0:2;B;VAG
1286;LOHE;Lohe;Nürnberg;110417745;492916741;de:9564:1286:0:1;B;VAG
1286;LOHE;Lohe;Nürnberg;110418848;492916329;de:9564:1286:0:2;B;VAG
1287;FLUGHS;Flughafenstraße;Nürnberg;110454210;492908007;de:9564:1287:0:1;B;VAG
1287;FLUGHS;Flughafenstraße;Nürnberg;110455720;492909339;de:9564:1287:0:2;B;VAG
1287;FLUGHS;Flughafenstraße;Nürnberg;110456370;492906647;de:9564:1287:0:3;B;VAG
1288;AM-BAE;Am Bäumling;Nürnberg;110433926;492912154;de:9564:1288:0:1;B;VAG
1288;AM-BAE;Am Bäumling;Nürnberg;110432313;492911948;de:9564:1288:0:2;B;VAG
1288;AM-BAE;Am Bäumling;Nürnberg;110433288;492913088;de:9564:1288:0:3;B;VAG
1288;AM-BAE;Am Bäumling;Nürnberg;110431904;492913033;de:9564:1288:0:4;B;VAG
1289;WILHEL;Wilhelmshavener Str.;Nürnberg;110420619;492852818;de:9564:1289:0:1;B;VAG
1289;WILHEL;Wilhelmshavener Str.;Nürnberg;110419751;492852708;de:9564:1289:0:2;B;VAG
1289;WILHEL;Wilhelmshavener Str.;Nürnberg;110419034;492850653;de:9564:1289:0:3;B;VAG
1289;WILHEL;Wilhelmshavener Str.;Nürnberg;110418422;492851402;de:9564:1289:0:4;B;VAG
1290;SCHWER;Schweriner Straße;Nürnberg;110416599;492842848;de:9564:1290:0:1;B;VAG
1290;SCHWER;Schweriner Straße;Nürnberg;110415864;492843988;de:9564:1290:0:2;B;VAG
1291;KLREUH;Kleinreuth h.d.V;Nürnberg;110417801;492828676;de:9564:1291:0:1;B;VAG
1291;KLREUH;Kleinreuth h.d.V;Nürnberg;110416221;492831285;de:9564:1291:0:2;B;VAG
1292;LANG;Langer Steig;Nürnberg;110453650;492824844;de:9564:1292:0:1;B;VAG
1292;LANG;Langer Steig;Nürnberg;110455271;492826067;de:9564:1292:0:2;B;VAG
1292;LANG;Langer Steig;Nürnberg;110451333;492825856;de:9564:1292:0:3;B;VAG
1292;LANG;Langer Steig;Nürnberg;110452006;492825737;de:9564:1292:0:4;B;VAG
1293;THON;Thon;Nürnberg;110353892;492823520;de:9564:1293:13:6;B;VAG
1293;THON;Thon;Nürnberg;110351814;492824060;de:9564:1293:13:7;B;VAG
1293;THON;Thon;Nürnberg;110350076;492825356;de:9564:1293:13:8;B;VAG
1293;THON;Thon;Nürnberg;110350544;492824528;de:9564:1293:13:9;B;VAG
1293;THON;Thon;Nürnberg;110349885;492822656;de:9564:1293:12:10;B;VAG
1293;THON;Thon;Nürnberg;110352884;492823664;de:9564:1293:12:11;T;VAG
1293;THON;Thon;Nürnberg;110352632;492823520;de:9564:1293:12:12;T;VAG
1294;CUXH-B;Cuxhavener Straße;Nürnberg;110345144;492838280;de:9564:1294:13:1;B;VAG
1294;CUXH-B;Cuxhavener Straße;Nürnberg;110343826;492837678;de:9564:1294:13:2;B;VAG
1294;CUXH-T;Cuxhavener Str.;Nürnberg;110344604;492838352;de:9564:1294:12:11;T;VAG
1294;CUXH-T;Cuxhavener Str.;Nürnberg;110344316;492838244;de:9564:1294:12:12;T;VAG
1295;SCHL-B;Schleswiger Straße;Nürnberg;110339236;492849411;de:9564:1295:13:1;B;VAG
1295;SCHL-B;Schleswiger Straße;Nürnberg;110338962;492846981;de:9564:1295:13:2;B;VAG
1295;SCHL-B;Schleswiger Straße;Nürnberg;110335150;492847668;de:9564:1295:13:3;B;VAG
1295;SCHL-B;Schleswiger Straße;Nürnberg;110341760;492848288;de:9564:1295:13:4;B;VAG
1295;SCHL-T;Schleswiger Str.;Nürnberg;110338736;492849656;de:9564:1295:12:11;T;VAG
1295;SCHL-T;Schleswiger Str.;Nürnberg;110338412;492849584;de:9564:1295:12:12;T;VAG
1296;SCHNEP;Schnepfenreuth;Nürnberg;110311848;492908831;de:9564:1296:0:1;B;VAG
1296;SCHNEP;Schnepfenreuth;Nürnberg;110309970;492908282;de:9564:1296:0:2;B;VAG
1297;KIELER;Kieler Straße;Nürnberg;110320565;492843329;de:9564:1297:0:1;B;VAG
1297;KIELER;Kieler Straße;Nürnberg;110320194;492842999;de:9564:1297:0:2;B;VAG
1298;BERU;Berufsförderungswerk;Nürnberg;110250662;492834443;de:9564:1298:0:1;B;VAG
1298;BERU;Berufsförderungswerk;Nürnberg;110248224;492833808;de:9564:1298:0:2;B;VAG
1299;H-BOEC;Hans-Böckler-Straße;Fürth;110112839;492819200;de:9563:1299:0:1;B;VAG
1299;H-BOEC;Hans-Böckler-Straße;Fürth;110114998;492819378;de:9563:1299:0:2;B;VAG
1299;H-BOEC;Hans-Böckler-Straße;Fürth;110112839;492819200;de:9563:1299:0:3;B;VAG
1299;H-BOEC;Hans-Böckler-Straße;Fürth;110111819;492821534;de:9563:1299:0:4;B;VAG
1299;H-BOEC;Hans-Böckler-Straße;Fürth;110113271;492819887;de:9563:1299:0:5;B;VAG
1299;H-BOEC;Hans-Böckler-Straße;Fürth;110114611;492819667;de:9563:1299:0:6;B;VAG
1300;BUCH-M;Buch Mitte;Nürnberg;110242566;492948615;de:9564:1300:0:1;B;VAG
1301;BAMN-N;Bamberger Straße;Nürnberg;110331788;492904596;de:9564:1301:13:1;B;VAG
1301;BAMN-N;Bamberger Straße;Nürnberg;110332249;492900987;de:9564:1301:13:2;B;VAG
1301;BAMN-N;Bamberger Straße;Nürnberg;110328422;492902976;de:9564:1301:13:3;B;VAG
1301;BAMN-N;Bamberger Straße;Nürnberg;110335064;492903120;de:9564:1301:13:4;B;VAG
1301;BAMN-N;Bamberger Straße;Nürnberg;110336946;492904700;de:9564:1301:13:5;B;VAG
1301;BAMN-T;Bamberger Straße;Nürnberg;110331248;492904560;de:9564:1301:12:11;T;VAG
1301;BAMN-T;Bamberger Straße;Nürnberg;110332400;492901752;de:9564:1301:12:12;T;VAG
1302;WALTBR;Walter-Braun-Straße;Nürnberg;110313406;492900384;de:9564:1302:0:1;B;VAG
1302;WALTBR;Walter-Braun-Straße;Nürnberg;110312720;492900234;de:9564:1302:0:2;B;VAG
1303;REUTLS;Reutleser Straße;Nürnberg;110200060;493153406;de:9564:1303:0:1;B;VAG
1303;REUTLS;Reutleser Straße;Nürnberg;110158501;493151483;de:9564:1303:0:2;B;VAG
1303;REUTLS;Reutleser Straße;Nürnberg;110156578;493155562;de:9564:1303:0:3;B;VAG
1303;REUTLS;Reutleser Straße;Nürnberg;110155981;493154958;de:9564:1303:0:4;B;VAG
1304;WERTHS;Wertheimer Straße;Nürnberg;110113646;493156825;de:9564:1304:0:1;B;VAG
1304;WERTHS;Wertheimer Straße;Nürnberg;110113021;493157059;de:9564:1304:0:2;B;VAG
1305;BASTST;Baststraße;Nürnberg;110238759;492954904;de:9564:1305:0:1;B;VAG
1305;BASTST;Baststraße;Nürnberg;110238158;492954053;de:9564:1305:0:2;B;VAG
1306;ROEHRI;Röhrichtweg;Nürnberg;110109406;493055975;de:9564:1306:0:1;B;VAG
1306;ROEHRI;Röhrichtweg;Nürnberg;110109241;493055439;de:9564:1306:0:2;B;VAG
1307;KILIAN;Kilianstraße;Nürnberg;110438431;492826369;de:9564:1307:0:1;B;VAG
1307;KILIAN;Kilianstraße;Nürnberg;110440371;492825806;de:9564:1307:0:2;B;VAG
1308;ROTFUC;Rotfuchsstraße;Nürnberg;110118084;493118670;de:9564:1308:0:1;B;VAG
1308;ROTFUC;Rotfuchsstraße;Nürnberg;110117400;493118692;de:9564:1308:0:2;B;VAG
1309;MICHAE;Michaelstraße;Nürnberg;110406481;492825435;de:9564:1309:0:1;B;VAG
1309;MICHAE;Michaelstraße;Nürnberg;110403824;492825755;de:9564:1309:0:2;B;VAG
1310;OSTB;Ostbahnhof;Nürnberg;110709228;492753028;de:9564:1310:12:TramO;T;VAG
1310;OSTB;Ostbahnhof;Nürnberg;110712792;492754648;de:9564:1310:12:TramW;T;VAG
1310;OSTB;Ostbahnhof;Nürnberg;110709228;492753028;de:9564:1310:3:1;B;VAG
1310;OSTB;Ostbahnhof;Nürnberg;110712792;492754648;de:9564:1310:3:2;B;VAG
1310;OSTB;Ostbahnhof;Nürnberg;110711718;492754467;de:9564:1310:3:4;B;VAG
